ID,地區,年月,複數原告,複數被告,賠償金額,總賠償金額,PDF
"KSEV,111,雄小,2855,20230117,1",高雄,2023年01月,否,否,[28702],28702,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2855%2c20230117%2c1.pdf
"KSEV,111,雄小,2860,20221230,1",高雄,2022年12月,否,否,[20619],20619,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2860%2c20221230%2c1.pdf
"KSEV,111,雄小,2882,20221221,1",高雄,2022年12月,否,否,[71913],71913,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2882%2c20221221%2c1.pdf
"KSEV,111,雄小,2891,20230109,1",高雄,2023年01月,否,否,[16378],16378,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2891%2c20230109%2c1.pdf
"KSEV,111,雄小,2893,20230111,1",高雄,2023年01月,否,否,[57565],57565,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2893%2c20230111%2c1.pdf
"KSEV,111,雄小,2896,20230118,1",高雄,2023年01月,否,否,[45059],45059,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2896%2c20230118%2c1.pdf
"KSEV,111,雄小,2901,20221230,1",高雄,2022年12月,否,否,[39011],39011,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2901%2c20221230%2c1.pdf
"KSEV,111,雄小,2904,20221229,1",高雄,2022年12月,否,否,[19235],19235,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2904%2c20221229%2c1.pdf
"KSEV,111,雄小,2909,20230116,1",高雄,2023年01月,否,否,[14250],14250,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2909%2c20230116%2c1.pdf
"KSEV,111,雄小,2917,20230112,1",高雄,2023年01月,否,否,[34033],34033,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2917%2c20230112%2c1.pdf
"KSEV,111,雄小,2918,20221229,1",高雄,2022年12月,否,否,[28127],28127,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2918%2c20221229%2c1.pdf
"KSEV,111,雄小,2919,20221220,1",高雄,2022年12月,否,否,[34444],34444,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2919%2c20221220%2c1.pdf
"KSEV,111,雄小,2942,20221223,1",高雄,2022年12月,否,否,[19148],19148,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2942%2c20221223%2c1.pdf
"KSEV,111,雄小,2952,20221220,1",高雄,2022年12月,否,否,[92132],92132,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2952%2c20221220%2c1.pdf
"KSEV,111,雄小,2956,20221229,1",高雄,2022年12月,否,否,[4662],4662,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2956%2c20221229%2c1.pdf
"KSEV,111,雄小,2973,20230201,1",高雄,2023年02月,否,否,[44423],44423,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2973%2c20230201%2c1.pdf
"KSEV,111,雄小,2977,20230321,1",高雄,2023年03月,否,否,[20711],20711,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2977%2c20230321%2c1.pdf
"KSEV,111,雄小,2978,20221230,1",高雄,2022年12月,否,否,[41210],41210,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2978%2c20221230%2c1.pdf
"KSEV,111,雄小,2999,20230106,1",高雄,2023年01月,否,否,[35354],35354,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c2999%2c20230106%2c1.pdf
"KSEV,111,雄小,3000,20230110,1",高雄,2023年01月,否,否,[28640],28640,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3000%2c20230110%2c1.pdf
"KSEV,111,雄小,3012,20221220,1",高雄,2022年12月,否,否,[39162],39162,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3012%2c20221220%2c1.pdf
"KSEV,111,雄小,3016,20230201,1",高雄,2023年02月,否,否,[28566],28566,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3016%2c20230201%2c1.pdf
"KSEV,111,雄小,3022,20230131,1",高雄,2023年01月,否,是,[14708],14708,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3022%2c20230131%2c1.pdf
"KSEV,111,雄小,3026,20221227,1",高雄,2022年12月,否,否,[3559],3559,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3026%2c20221227%2c1.pdf
"KSEV,111,雄小,3031,20230202,1",高雄,2023年02月,否,否,[36311],36311,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3031%2c20230202%2c1.pdf
"KSEV,111,雄小,3038,20230119,1",高雄,2023年01月,否,否,[6088],6088,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3038%2c20230119%2c1.pdf
"KSEV,111,雄小,3043,20230110,1",高雄,2023年01月,否,否,[58015],58015,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3043%2c20230110%2c1.pdf
"KSEV,111,雄小,3044,20230216,1",高雄,2023年02月,否,否,[49194],49194,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3044%2c20230216%2c1.pdf
"KSEV,111,雄小,3046,20221221,1",高雄,2022年12月,否,否,[18338],18338,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3046%2c20221221%2c1.pdf
"KSEV,111,雄小,3076,20221221,1",高雄,2022年12月,否,否,[54426],54426,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3076%2c20221221%2c1.pdf
"KSEV,111,雄小,3086,20230329,1",高雄,2023年03月,否,否,[29281],29281,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3086%2c20230329%2c1.pdf
"KSEV,111,雄小,3098,20230106,1",高雄,2023年01月,否,否,[20706],20706,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3098%2c20230106%2c1.pdf
"KSEV,111,雄小,3099,20230220,1",高雄,2023年02月,否,否,[9133],9133,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3099%2c20230220%2c1.pdf
"KSEV,111,雄小,3100,20230119,1",高雄,2023年01月,否,否,[8922],8922,https://data.judicial.gov.tw/opendl/JDocFile/KSEV/111%2c%e9%9b%84%e5%b0%8f%2c3100%2c20230119%2c1.pdf
