date,2317,2330,2454,portfolio_value
2014-11-20,96.7,139.0,440.0,675.7
2014-11-19,96.0,136.0,440.0,672.0
2014-11-18,95.5,131.5,437.5,664.5
2014-11-17,95.6,133.0,448.0,676.6
2014-11-14,96.8,135.0,455.5,687.3
2014-11-13,98.0,134.0,454.0,686.0
2014-11-12,96.0,132.0,448.0,676.0
2014-11-11,97.7,134.0,445.5,677.2
2014-11-10,98.3,134.5,452.0,684.8
2014-11-07,96.3,131.0,427.0,654.3
2014-11-06,95.9,132.0,413.0,640.9
2014-11-05,98.2,132.0,426.5,656.7
2014-11-04,97.5,132.0,434.0,663.5
2014-11-03,98.1,131.0,437.5,666.6
2014-10-31,96.0,130.5,433.0,659.5
2014-10-30,95.2,128.5,428.5,652.2
2014-10-29,95.0,129.0,435.5,659.5
2014-10-28,95.5,128.0,425.0,648.5
2014-10-27,94.0,128.0,418.0,640.0
2014-10-24,93.2,125.5,419.0,637.7
2014-10-23,95.0,127.5,420.0,642.5
2014-10-22,94.0,129.0,425.5,648.5
2014-10-21,93.5,125.0,420.0,638.5
2014-10-20,93.2,126.0,418.0,637.2
2014-10-17,89.0,123.5,420.0,632.5
2014-10-16,92.2,121.5,422.0,635.7
2014-10-15,93.5,121.5,427.0,642.0
2014-10-14,96.0,121.0,418.5,635.5
2014-10-13,95.8,120.5,403.0,619.3
2014-10-09,97.6,125.0,420.0,642.6
2014-10-08,96.7,122.5,443.0,662.2
2014-10-07,97.6,125.0,455.5,678.1
2014-10-06,98.5,126.0,466.0,690.5
2014-10-03,99.3,124.5,455.0,678.8
2014-10-02,97.5,121.0,456.0,674.5
2014-10-01,98.4,121.5,457.5,677.4
2014-09-30,96.0,120.0,450.5,666.5
2014-09-29,97.6,120.5,445.0,663.1
2014-09-26,97.1,121.0,455.0,673.1
2014-09-25,100.0,122.0,450.5,672.5
2014-09-24,100.5,123.0,448.0,671.5
2014-09-23,100.5,122.5,473.0,696.0
2014-09-22,100.5,122.0,494.0,716.5
