Open,High,Low,Close,Adj Close,Volume,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram
7.116786003112793,7.1521430015563965,6.876786231994629,6.958570957183838,5.883142948150635,1079178800,,,,,
6.978929042816162,7.049643039703369,6.881785869598389,6.961785793304443,5.885862350463867,842066400,,,,,
6.837500095367432,6.892857074737549,6.3889288902282715,6.430356979370117,5.436563491821289,1455832000,,,,,
6.473214149475098,6.557143211364746,6.0796427726745605,6.34428596496582,5.363794326782227,2072193200,,,,,
6.433570861816406,6.5164289474487305,6.099999904632568,6.1160712242126465,5.170849800109863,1523816000,,,,,
6.117856979370117,6.410714149475098,6.010714054107666,6.4071431159973145,5.416935920715332,1813882000,,,,,
6.3421430587768555,6.464285850524902,6.26464319229126,6.3578572273254395,5.375267505645752,1482975200,,,,,
6.285714149475098,6.351786136627197,6.0714287757873535,6.167500019073486,5.214328765869141,1232285600,,,,,
6.340000152587891,6.4078569412231445,6.256071090698242,6.385000228881836,5.398215293884277,1100450400,,,,,
6.347143173217773,6.400713920593262,5.880713939666748,6.037143230438232,5.104120254516602,2343278000,,,,,
5.901071071624756,6.036070823669434,5.596428871154785,5.7014288902282715,4.820288181304932,2213845200,,,,,
5.768214225769043,5.90571403503418,5.6578569412231445,5.746070861816406,4.858031749725342,1757859600,6.236751382322192,,,,
5.775356769561768,5.919642925262451,5.700356960296631,5.762856960296631,4.872223854064941,1724343600,6.163844548164413,,,,
5.2878570556640625,5.713571071624756,5.214285850524902,5.558570861816406,4.69951057434082,2434754000,6.070725519495489,,,,
4.86392879486084,5.0,4.505000114440918,4.966785907745361,4.19918155670166,3372969600,5.9008886561493155,,,,
4.999642848968506,5.025000095367432,4.7146430015563965,4.8428568840026855,4.094405651092529,2005866800,5.738114537357526,,,,
4.963929176330566,4.96750020980835,4.628929138183594,4.643214225769043,3.925618886947632,1554739200,5.569668335574683,,,,
4.57714319229126,4.757143020629883,4.51607084274292,4.643214225769043,3.925618886947632,1474844000,5.427136934066123,,,,
4.683928966522217,4.742499828338623,4.60892915725708,4.697856903076172,3.9718172550201416,1099982800,5.314940006221516,,,,
4.69178581237793,4.837500095367432,4.642857074737549,4.720714092254639,3.9911386966705322,1243051600,5.223520634841996,,,,
4.623213768005371,4.880356788635254,4.621428966522217,4.834286212921143,4.087160110473633,1345674400,5.163638416084941,,,,
4.865714073181152,4.878213882446289,4.720714092254639,4.776785850524902,4.038547992706299,1010744000,5.104122636768012,,,,
4.793213844299316,4.853570938110352,4.693571090698242,4.701786041259766,3.9751381874084473,899234000,5.042224698997512,,,,
4.658214092254639,4.785714149475098,4.603570938110352,4.619999885559082,3.9059908390045166,1141042000,4.9772670353916,,,,
4.672500133514404,4.711429119110107,4.348928928375244,4.357142925262451,3.6837592124938965,1573272400,4.881863326140961,,,,
4.284643173217773,4.4564290046691895,4.18821382522583,4.329999923706055,3.660809278488159,2083331600,4.796961264227899,5.335614891692321,-0.5386536274644227,,
4.360000133514404,4.489285945892334,4.3428568840026855,4.481429100036621,3.7888364791870117,1355972800,4.748417854352318,5.272341870088195,-0.5239240157358775,,
4.571785926818848,4.6421427726745605,4.5428571701049805,4.623213768005371,3.9087073802948,1201432400,4.729155687222018,5.224258306970949,-0.49510261974893055,,
4.6678571701049805,4.6785712242126465,4.414999961853027,4.459286212921143,3.770115375518799,1225980000,4.687637306560346,5.167593707411704,-0.4799564008513588,,
4.524285793304443,4.635000228881836,4.486785888671875,4.621428966522217,3.907200336456299,968534000,4.677451408092941,5.127137059938409,-0.44968565184546794,,
4.621428966522217,4.67142915725708,4.536070823669434,4.552143096923828,3.848621129989624,954097200,4.658173206374617,5.084544914529922,-0.42637170815530556,,
4.509643077850342,4.538570880889893,4.430714130401611,4.451070785522461,3.763169527053833,901300400,4.626311295474284,5.037620904973814,-0.4113096094995292,,
4.499642848968506,4.526785850524902,4.3371429443359375,4.3635711669921875,3.6891930103302,1005046000,4.585889737246269,4.987691294752953,-0.40180155750668334,,
4.364285945892334,4.449999809265137,4.345714092254639,4.42214298248291,3.7387118339538574,967439200,4.560697928821138,4.945798827177394,-0.3851008983562565,-0.44421287783954394,0.05911197948328745
4.501786231994629,4.516786098480225,4.316429138183594,4.340713977813721,3.6698689460754395,938114800,4.5268542440507655,4.90097772722453,-0.3741234831737641,-0.430194998906388,0.05607151573262392
4.37428617477417,4.375357151031494,4.138214111328125,4.2664289474487305,3.6070642471313477,1529878000,4.486788813804298,4.853974113907803,-0.3671853001035048,-0.41759305914581135,0.050407759042306544
4.23535680770874,4.291786193847656,4.166429042816162,4.276429176330566,3.615518569946289,1256774400,4.454425792654494,4.8111930074206,-0.35676721476610673,-0.4054278902698705,0.04866067550376374
4.2014288902282715,4.324643135070801,4.122857093811035,4.255356788635254,3.5977025032043457,1504888000,4.423799792036149,4.770019954177241,-0.3462201621410914,-0.3935863446441147,0.04736618250302327
4.222499847412109,4.3946428298950195,4.21750020980835,4.3914289474487305,3.712745189666748,1475138000,4.418819662099623,4.741976175901055,-0.3231565138014316,-0.3795003784755781,0.05634386467414648
4.5428571701049805,4.721428871154785,4.491786003112793,4.63964319229126,3.9225997924804688,1618254400,4.452792512898337,4.734395954892922,-0.2816034419945854,-0.3599209911793796,0.07831754918479417
4.617499828338623,4.650356769561768,4.4571428298950195,4.465000152587891,3.774946928024292,1255480800,4.454670611312114,4.714440710277734,-0.2597700989656202,-0.3398908127366277,0.08012071377100749
