站名,平均氣溫,絕對最高氣溫,絕對最低氣溫,總日照時數h,總日射量MJ/ m2,Year,Month,行政區,days_in_month,平均每日日照時數,平均每日日射量,ESH
農業試驗所,22.6,32.5,14.7,69.1,283.76,2001,4,台中市,30,2.303333333333333,9.458666666666666,2.6276175999999998
茶改場,25.1,35.7,18.6,109.0,323.13,2001,5,桃園市,31,3.5161290322580645,10.423548387096774,2.8956617419354838
桃園農改,24.6,30.7,18.5,71.9,321.67,2001,5,桃園市,31,2.3193548387096774,10.376451612903226,2.882578258064516
五峰站,20.4,28.9,15.7,74.3,344.68,2001,5,新竹縣,31,2.396774193548387,11.118709677419355,3.088777548387097
苗栗農改,,,,,,2001,5,苗栗縣,31,,,
台中農改,26.1,32.5,20.4,203.7,348.51,2001,5,台中市,31,6.570967741935483,11.242258064516127,3.12309929032258
臺大溪頭,19.3,25.9,12.1,,271.41,2001,5,南投縣,31,,8.755161290322581,2.432183806451613
雲林分場,26.1,34,20.6,104.1,385.64,2001,5,雲林縣,31,3.358064516129032,12.44,3.4558319999999996
義竹分場,26.4,33.3,20.6,,499.34,2001,5,嘉義縣,31,,16.10774193548387,4.474730709677418
畜試所,26.6,33.9,21.1,99.2,327.96,2001,5,臺南市,31,3.2,10.579354838709676,2.938944774193548
高雄農改,27.3,34.5,22.1,107.8,338.72,2001,5,屏東縣,31,3.47741935483871,10.926451612903229,3.035368258064517
