Date,Open,High,Low,Close,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband
2008-01-02,61.38205337524414,61.38205337524414,59.59999465942383,59.897003173828125,33.868560791015625,39300705,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-03,59.302982330322266,59.40198516845703,58.80796813964844,58.80796813964844,33.252769470214844,35123067,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-04,58.70896530151367,59.79800033569336,57.91693878173828,59.40198516845703,33.588645935058594,48851900,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-07,56.431888580322266,57.42192077636719,55.24384689331055,55.24384689331055,31.237443923950195,104088436,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-08,55.24384689331055,56.03587341308594,54.94683837890625,55.441856384277344,31.349411010742188,47704464,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-09,54.451820373535156,56.431888580322266,53.95680618286133,56.431888580322266,31.909208297729492,45426762,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-10,56.431888580322266,56.82789993286133,54.74883270263672,55.14484405517578,31.181467056274414,61813083,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-11,55.54085922241211,55.54085922241211,54.15481185913086,54.451820373535156,30.78959846496582,72260208,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-14,55.93687057495117,56.233882904052734,54.15481185913086,54.35281753540039,30.733606338500977,77963047,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-15,54.847835540771484,57.32291793823242,54.64982986450195,56.926902770996094,32.189117431640625,98374485,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-16,55.045841217041016,55.639862060546875,54.35281753540039,54.847835540771484,31.013530731201172,79288255,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-17,55.045841217041016,55.837867736816406,53.95680618286133,54.15481185913086,30.621646881103516,51692209,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-18,53.461788177490234,54.35281753540039,52.76876449584961,54.055809020996094,30.5656681060791,66086677,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-21,54.055809020996094,54.15481185913086,52.76876449584961,52.76876449584961,29.837919235229492,43136940,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-22,49.10564422607422,50.59069061279297,49.10564422607422,49.10564422607422,27.766616821289062,88136444,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-23,50.4916877746582,50.88770294189453,49.89767074584961,50.4916877746582,28.55035400390625,78966044,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-24,53.95680618286133,53.95680618286133,52.57075881958008,53.16477966308594,30.06183624267578,72080416,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-25,54.451820373535156,55.441856384277344,54.451820373535156,54.94683837890625,31.069499969482422,50756887,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-28,54.847835540771484,54.847835540771484,53.461788177490234,53.659793853759766,30.341739654541016,39967349,223.9812,223.9812,223.9812,223.9812,235.2006,211.9129
2008-01-29,55.34284973144531,56.431888580322266,55.045841217041016,56.431888580322266,31.909208297729492,58653592,54.9864,44.1077,54.9864,2.6508,235.2006,211.9129
2008-01-30,56.926902770996094,57.718929290771484,56.431888580322266,57.223915100097656,32.3570671081543,111730604,54.8528,45.5738,54.8528,2.4499,59.7526,49.953
2008-01-31,56.926902770996094,59.302982330322266,56.72889709472656,59.302982330322266,33.532676696777344,172864922,54.8775,50.7936,54.8775,2.4941,59.8657,49.8893
2008-02-01,60.39202117919922,61.58005905151367,59.79800033569336,60.78803253173828,34.37238311767578,135886361,54.9468,52.1605,54.9468,2.6413,60.2294,49.6642
2008-02-12,59.104976654052734,59.698997497558594,59.104976654052734,59.40198516845703,33.588645935058594,104072274,55.1547,57.0946,55.1547,2.8233,60.8013,49.5081
2008-02-13,60.39202117919922,60.39202117919922,59.302982330322266,59.302982330322266,33.532676696777344,52671974,55.3478,56.6102,55.3478,2.9721,61.292,49.4036
2008-02-14,59.59999465942383,61.38205337524414,59.59999465942383,61.38205337524414,34.7082633972168,73558144,55.5953,58.1699,55.5953,3.2594,62.1141,49.0765
