縣市,登記單位數,登記數(A),除戶數(B),轉讓數(C),變更數(D),絕育數(E),絕育除戶數(F),免絕育數(G),免絕育除戶數(H),絕育率(E-F)/(A-B),繁殖管理率(E-F)+(G-H)/(A-B)
新北市,241,16370,4007,785,1786,9245,2161,389,52,57.30,60.03
臺北市,219,9434,1600,600,2413,6273,836,127,32,69.40,70.62
臺中市,204,15153,3657,586,869,10608,2334,1302,158,71.97,81.92
臺南市,130,14410,6377,436,873,8478,4002,525,62,55.72,61.48
高雄市,208,13123,1609,498,1058,7642,731,488,46,60.02,63.86
桃園市,139,10381,1648,485,823,5897,756,294,56,58.87,61.59
宜蘭縣,11,1930,411,59,191,1012,194,87,27,53.85,57.80
新竹縣,19,2031,483,103,103,1171,150,81,12,65.96,70.41
苗栗縣,18,3927,1146,95,215,1793,531,35,8,45.38,46.35
彰化縣,47,4434,951,194,293,2394,389,157,17,57.57,61.58
南投縣,17,2488,700,135,139,1485,325,148,28,64.88,71.59
雲林縣,28,2609,654,79,118,1917,454,111,12,74.83,79.90
嘉義縣,12,2050,448,60,89,1295,89,50,4,75.28,78.15
屏東縣,43,2615,492,129,172,1431,94,44,13,62.98,64.44
臺東縣,7,2698,1146,200,343,1534,628,71,14,58.38,62.05
花蓮縣,25,4690,1013,238,624,1871,319,168,35,42.21,45.83
澎湖縣,5,787,238,67,110,393,99,121,24,53.55,71.22
基隆市,14,1622,219,64,143,874,114,10,4,54.17,54.60
新竹市,28,1479,228,70,90,832,113,85,6,57.47,63.79
嘉義市,26,1133,180,66,42,686,92,7,1,62.33,62.96
金門縣,1,904,339,59,88,417,108,96,15,54.69,69.03
連江縣,1,58,16,1,2,30,6,0,0,57.14,57.14
合計,1443,114326,27562,5009,10584,67278,14525,4396,626,60.80,65.15
