縣市,登記單位數,登記數(A),除戶數(B),轉讓數(C),變更數(D),絕育數(E),絕育除戶數(F),免絕育數(G),免絕育除戶數(H),絕育率(E-F)/(A-B),繁殖管理率(E-F)+(G-H)/(A-B)
新北市,264,13768,1693,3752,6325,7561,710,369,50,56.74,59.38
臺北市,218,8265,919,1844,4766,5484,558,208,22,67.06,69.59
臺中市,212,14170,2177,2499,4430,10273,1479,1591,152,73.33,85.32
臺南市,148,10816,932,1759,3415,6090,330,677,68,58.28,64.44
高雄市,203,16200,2229,3905,6855,8520,701,1702,235,55.97,66.47
桃園市,163,12682,1326,2819,5070,7215,617,340,26,58.10,60.87
宜蘭縣,20,1729,364,306,675,883,153,240,79,53.48,65.27
新竹縣,21,2561,387,522,890,1556,157,241,44,64.35,73.41
苗栗縣,24,4822,1236,857,1848,2136,389,44,4,48.72,49.83
彰化縣,54,5038,875,993,1820,2853,393,220,19,59.09,63.92
南投縣,24,3200,336,428,661,2581,236,90,9,81.88,84.71
雲林縣,30,4058,701,475,866,2852,485,412,85,70.51,80.25
嘉義縣,14,2408,270,351,649,1464,62,114,14,65.58,70.25
屏東縣,46,4396,526,1228,1728,2456,141,138,47,59.82,62.17
臺東縣,7,3662,1278,179,958,2213,785,180,43,59.90,65.65
花蓮縣,23,2404,264,274,717,1769,191,55,2,73.74,76.21
澎湖縣,3,682,184,89,299,330,81,88,11,50.00,65.46
基隆市,14,1578,107,322,988,1050,52,7,3,67.85,68.12
新竹市,25,1264,205,307,503,750,76,161,11,63.64,77.81
嘉義市,26,912,136,158,328,549,83,14,0,60.05,61.86
金門縣,1,750,151,149,253,385,58,144,25,54.59,74.46
連江縣,1,54,12,5,14,36,5,0,0,73.81,73.81
合計,1541,115419,16308,23221,44058,69006,7742,7035,949,61.81,67.95
