縣市,登記單位數,登記數(A),除戶數(B),轉讓數(C),變更數(D),絕育數(E),絕育除戶數(F),免絕育數(G),免絕育除戶數(H),絕育率(E-F)/(A-B),繁殖管理率(E-F)+(G-H)/(A-B)
新北市,289,14108,1298,11691,6098,7374,433,309,11,54.18,56.51
臺北市,219,8357,553,6316,5929,4914,249,145,6,59.78,61.56
臺中市,215,13482,1093,9129,4006,8930,564,714,26,67.53,73.08
臺南市,164,8945,456,4885,2176,3670,92,475,14,42.15,47.58
高雄市,218,14129,1555,8594,3193,7549,762,587,37,53.98,58.35
桃園市,175,9319,433,7863,3926,4900,177,86,4,53.15,54.07
宜蘭縣,22,1846,179,1286,679,760,68,148,8,41.51,49.91
新竹縣,29,2485,197,1633,993,1491,65,191,8,62.33,70.32
苗栗縣,29,3059,397,1678,758,1458,123,38,2,50.15,51.50
彰化縣,65,6478,833,3523,1546,3490,504,153,2,52.90,55.57
南投縣,20,3678,392,1323,870,2504,99,132,11,73.19,76.87
雲林縣,34,4055,404,1640,669,2652,261,150,5,65.49,69.46
嘉義縣,13,3369,510,1441,908,1448,38,41,0,49.32,50.75
屏東縣,83,4327,383,2411,789,2248,126,51,3,53.80,55.02
臺東縣,7,2690,545,502,281,1371,297,44,5,50.07,51.89
花蓮縣,33,3272,204,854,598,1678,96,14,0,51.56,52.02
澎湖縣,10,530,67,321,224,289,28,73,7,56.37,70.63
基隆市,17,1249,176,1063,557,563,16,12,1,50.98,52.00
新竹市,32,1427,131,1274,431,784,20,73,1,58.95,64.51
嘉義市,30,910,142,709,242,411,72,3,0,44.14,44.53
金門縣,1,559,45,349,215,278,11,106,10,51.95,70.62
連江縣,1,44,1,25,13,20,1,0,0,44.19,44.19
合計,1706,108318,9994,68510,35101,58782,4102,3545,161,55.61,59.05
