縣市,登記單位數,登記數(A),除戶數(B),轉讓數(C),變更數(D),絕育數(E),絕育除戶數(F),免絕育數(G),免絕育除戶數(H),絕育率(E-F)/(A-B),繁殖管理率(E-F)+(G-H)/(A-B)
新北市,240,14324,2843,1061,2944,8104,1513,529,118,57.41,60.99
臺北市,223,9134,1484,577,3132,5821,724,173,32,66.63,68.47
臺中市,202,15694,3141,707,1980,11353,2014,1405,155,74.40,84.35
臺南市,135,14754,1869,780,2761,8925,568,721,90,64.86,69.76
高雄市,202,13541,2096,982,2200,7554,722,621,74,59.69,64.47
桃園市,141,8694,1222,734,1753,5369,613,277,51,63.65,66.68
宜蘭縣,15,1808,470,131,374,893,168,152,51,54.19,61.73
新竹縣,19,2469,630,143,335,1341,219,196,49,61.01,69.00
苗栗縣,22,4468,1402,192,471,1988,468,63,11,49.58,51.27
彰化縣,56,5526,1425,389,891,2642,330,235,71,56.38,60.38
南投縣,22,2339,502,138,267,1682,297,180,44,75.39,82.80
雲林縣,29,3606,861,168,306,2352,505,616,155,67.29,84.08
嘉義縣,13,3442,1036,717,369,1506,79,96,18,59.31,62.55
屏東縣,46,4187,1127,405,594,2070,160,217,94,62.42,66.44
臺東縣,7,4173,1627,108,832,2286,833,132,46,57.07,60.45
花蓮縣,24,3532,622,147,600,2318,364,124,16,67.15,70.86
澎湖縣,5,726,200,73,251,350,83,126,33,50.76,68.44
基隆市,14,1754,152,79,563,1102,77,19,3,63.98,64.98
新竹市,26,1610,336,89,189,918,138,228,30,61.22,76.77
嘉義市,24,1046,182,73,179,642,116,35,0,60.88,64.93
金門縣,1,889,319,84,201,406,109,101,24,52.11,65.61
連江縣,1,57,11,1,8,39,7,1,0,69.57,71.74
合計,1467,117773,23557,7778,21200,69661,10107,6247,1165,63.21,68.60
