縣市,登記單位數,登記數(A),除戶數(B),轉讓數(C),變更數(D),絕育數(E),絕育除戶數(F),免絕育數(G),免絕育除戶數(H),絕育率(E-F)/(A-B),繁殖管理率(E-F)+(G-H)/(A-B)
新北市,234,15768,4353,750,1799,9641,2567,289,64,61.97,63.94
臺北市,219,9201,1790,539,2134,6050,934,109,28,69.03,70.13
臺中市,195,15835,4477,490,965,10150,2316,1261,179,68.97,78.50
臺南市,115,11463,4401,370,957,7061,2288,303,38,67.59,71.34
高雄市,206,18214,2870,548,1296,9272,1099,812,185,53.27,57.35
桃園市,134,12100,1879,492,827,7403,833,241,51,64.28,66.14
宜蘭縣,17,1942,451,69,119,1115,231,71,15,59.29,63.04
新竹縣,18,1552,389,77,96,824,136,61,13,59.16,63.28
苗栗縣,19,3112,1142,87,216,1232,381,29,4,43.20,44.47
彰化縣,51,3781,921,173,216,1926,377,101,24,54.16,56.85
南投縣,17,2321,723,77,83,1378,361,119,24,63.64,69.59
雲林縣,26,2765,929,87,114,1938,629,81,11,71.30,75.11
嘉義縣,12,1467,208,58,67,1035,86,35,4,75.38,77.84
屏東縣,37,2112,332,79,105,1088,130,51,30,53.82,55.00
臺東縣,7,9949,5721,269,405,3029,1557,339,164,34.82,38.95
花蓮縣,24,5388,1195,218,389,1664,280,201,46,33.01,36.70
澎湖縣,5,748,216,123,93,363,82,95,20,52.82,66.92
基隆市,12,1515,213,60,92,748,113,2,0,48.77,48.92
新竹市,30,1610,383,71,70,941,217,89,11,59.01,65.36
嘉義市,25,1234,224,59,58,858,166,5,0,68.51,69.01
金門縣,1,1139,497,73,66,369,125,73,12,38.01,47.51
連江縣,1,109,31,9,8,56,15,0,0,52.56,52.56
合計,1405,123325,33345,4778,10175,68141,14923,4367,923,59.14,62.97
