上線車輛數
105-02至107-03,4700輛
107-04至108-03,8700輛
108-04至108-09,9005輛
108-10至109-01,9030輛
109-02至109-08,9080輛
109-09至109-11,9205輛
109-12至110-05,9480輛
110-06至110-09,9780輛
110-10至111-01,9830輛
111-01至迄今,10005輛
