站名,可借,可還,更新時間
YouBike2.0_八德市場,1,29,2022-02-18 09:21:04
YouBike2.0_昌隆公園,8,8,2022-02-18 09:16:09
YouBike2.0_捷運大安森林公園站(2號出口),0,22,2022-02-18 09:00:32
YouBike2.0_信義延吉街口,0,15,2022-02-18 09:18:04
YouBike2.0_光信公園(光復南路456巷),11,4,2022-02-18 09:07:12
YouBike2.0_僑安地下停車場(2號出口)東南側,0,20,2022-02-18 07:55:22
YouBike2.0_建國南路一段279巷口,9,5,2022-02-18 09:08:11
YouBike2.0_捷運忠孝新生站(6號出口),0,15,2022-02-18 08:25:22
YouBike2.0_大安高工,9,14,2022-02-18 09:10:40
YouBike2.0_捷運忠孝新生站(3號出口),6,17,2022-02-18 09:16:09
YouBike2.0_瑠公公園,6,14,2022-02-18 09:18:13
YouBike2.0_敦化市民路口,11,14,2022-02-18 09:14:11
YouBike2.0_捷運大安森林公園站(5號出口),0,15,2022-02-18 09:04:03
YouBike2.0_信義建國路口,0,13,2022-02-18 09:00:32
YouBike2.0_東豐公園,3,8,2022-02-18 09:10:40
YouBike2.0_德安公園(四維路66巷),7,7,2022-02-18 08:58:11
YouBike2.0_捷運忠孝復興站(5號出口),5,16,2022-02-18 09:12:12
YouBike2.0_捷運忠孝敦化站(2號出口),7,10,2022-02-18 09:00:41
YouBike2.0_捷運忠孝敦化站(7號出口),12,4,2022-02-18 09:19:12
YouBike2.0_瑞安街208巷,14,1,2022-02-18 09:19:12
YouBike2.0_樂利路21巷口,5,12,2022-02-18 09:18:13
YouBike2.0_捷運國父紀念館站(2號出口),3,12,2022-02-18 09:19:12
YouBike2.0_仁愛醫院,4,6,2022-02-18 09:10:40
YouBike2.0_捷運信義安和站(4號出口),1,9,2022-02-18 09:02:12
YouBike2.0_成功國宅,1,11,2022-02-18 09:06:12
YouBike2.0_仁愛延吉街口,8,1,2022-02-18 09:19:12
YouBike2.0_捷運信義安和站(1號出口),0,15,2022-02-18 08:37:03
YouBike2.0_敦化南路二段103巷口,5,7,2022-02-18 09:19:12
YouBike2.0_復興南路二段128巷口,1,11,2022-02-18 08:11:12
YouBike2.0_和平東建國南路口,4,10,2022-02-18 09:14:11
YouBike2.0_復興南路一段126巷口,0,15,2022-02-18 08:15:33
YouBike2.0_捷運東門站(5號出口),1,27,2022-02-18 09:18:13
YouBike2.0_臺北科技大學(電機工程系),4,12,2022-02-18 09:13:12
YouBike2.0_忠孝東路三段217巷口,9,5,2022-02-18 08:55:38
YouBike2.0_新生南路三段94巷口,2,12,2022-02-18 09:10:40
YouBike2.0_延平國宅,6,24,2022-02-18 09:06:12
YouBike2.0_臺北市立圖書館大同分館,12,8,2022-02-18 08:58:11
YouBike2.0_合昌宮,10,3,2022-02-18 08:45:26
YouBike2.0_民族延平路口,6,7,2022-02-18 09:19:12
YouBike2.0_重慶酒泉街口,5,9,2022-02-18 09:19:12
YouBike2.0_樹德公園,5,9,2022-02-18 09:06:12
YouBike2.0_陳天來故居,3,15,2022-02-18 09:16:09
YouBike2.0_臺北孔廟,1,19,2022-02-18 08:48:11
YouBike2.0_捷運圓山站(1號出口),1,43,2022-02-18 09:19:12
YouBike2.0_酒泉延平路口,5,10,2022-02-18 09:09:03
YouBike2.0_重慶國中,11,14,2022-02-18 08:59:11
YouBike2.0_重慶北路三段383巷口,0,15,2022-02-18 08:14:03
YouBike2.0_台北數位產業園區,15,9,2022-02-18 09:18:13
YouBike2.0_民權延平路口(西北側),18,2,2022-02-18 08:33:12
YouBike2.0_民權迪化街口,9,14,2022-02-18 09:06:12
YouBike2.0_大稻埕公園,2,10,2022-02-18 09:13:12
YouBike2.0_大龍老人住宅,9,5,2022-02-18 09:09:11
YouBike2.0_大龍峒社會住宅,5,15,2022-02-18 09:16:09
YouBike2.0_捷運大橋頭站(2號出口),11,10,2022-02-18 09:18:13
YouBike2.0_捷運大橋頭站(1A出口),5,13,2022-02-18 08:51:12
YouBike2.0_捷運民權西路站(2號出口),3,22,2022-02-18 09:09:11
YouBike2.0_捷運雙連站(2號出口),1,19,2022-02-18 09:18:04
YouBike2.0_捷運北門站(3號出口),9,13,2022-02-18 09:18:13
YouBike2.0_朝陽公園,7,3,2022-02-18 09:16:09
YouBike2.0_永樂市場,2,12,2022-02-18 09:21:04
YouBike2.0_大龍公園,1,17,2022-02-18 09:12:12
